price,bedrooms,bathrooms,surface,floors,waterfront,view,condition,grade
221900.0,3,1.0,1180,1.0,0,0,3,7
538000.0,3,2.25,2570,2.0,0,0,3,7
180000.0,2,1.0,770,1.0,0,0,3,6
604000.0,4,3.0,1960,1.0,0,0,5,7
510000.0,3,2.0,1680,1.0,0,0,3,8
1225000.0,4,4.5,5420,1.0,0,0,3,11
257500.0,3,2.25,1715,2.0,0,0,3,7
291850.0,3,1.5,1060,1.0,0,0,3,7
229500.0,3,1.0,1780,1.0,0,0,3,7
323000.0,3,2.5,1890,2.0,0,0,3,7
662500.0,3,2.5,3560,1.0,0,0,3,8
468000.0,2,1.0,1160,1.0,0,0,4,7
310000.0,3,1.0,1430,1.5,0,0,4,7
400000.0,3,1.75,1370,1.0,0,0,4,7
530000.0,5,2.0,1810,1.5,0,0,3,7
650000.0,4,3.0,2950,2.0,0,3,3,9
395000.0,3,2.0,1890,2.0,0,0,3,7
485000.0,4,1.0,1600,1.5,0,0,4,7
189000.0,2,1.0,1200,1.0,0,0,4,7
230000.0,3,1.0,1250,1.0,0,0,4,7
385000.0,4,1.75,1620,1.0,0,0,4,7
2000000.0,3,2.75,3050,1.0,0,4,3,9
285000.0,5,2.5,2270,2.0,0,0,3,8
252700.0,2,1.5,1070,1.0,0,0,3,7
329000.0,3,2.25,2450,2.0,0,0,4,8
233000.0,3,2.0,1710,1.5,0,0,5,6
937000.0,3,1.75,2450,2.0,0,0,3,8
667000.0,3,1.0,1400,1.5,0,0,5,8
438000.0,3,1.75,1520,1.0,0,0,3,7
719000.0,4,2.5,2570,2.0,0,0,3,8
580500.0,3,2.5,2320,2.0,0,0,3,8
280000.0,2,1.5,1190,3.0,0,0,3,7
687500.0,4,1.75,2330,1.5,0,0,4,7
535000.0,3,1.0,1090,1.5,0,0,4,8
322500.0,4,2.75,2060,1.0,0,0,3,7
696000.0,3,2.5,2300,1.5,0,0,3,8
550000.0,4,1.0,1660,1.0,0,0,1,5
640000.0,4,2.0,2360,2.0,0,0,4,8
240000.0,4,1.0,1220,1.0,0,0,2,7
605000.0,4,2.5,2620,2.0,0,0,3,8
625000.0,4,2.5,2570,2.0,0,0,3,9
775000.0,4,2.25,4220,1.0,0,0,3,8
861990.0,5,2.75,3595,2.0,0,0,3,9
685000.0,3,1.0,1570,2.0,0,0,3,7
309000.0,3,1.0,1280,1.0,0,0,4,6
488000.0,3,2.5,3160,2.0,0,0,3,8
210490.0,3,1.0,990,1.0,0,0,3,6
785000.0,4,2.5,2290,2.0,0,0,4,9
450000.0,3,1.75,1250,1.0,0,0,4,7
1350000.0,3,2.5,2753,1.0,1,2,5,9
228000.0,3,1.0,1190,1.0,0,0,3,7
345000.0,5,2.5,3150,1.0,0,0,4,8
600000.0,3,1.75,1410,1.0,0,0,4,7
585000.0,2,1.75,1980,1.0,0,0,3,7
920000.0,5,2.25,2730,1.5,0,0,3,8
885000.0,4,2.5,2830,2.0,0,0,3,9
292500.0,4,2.5,2250,2.0,0,0,3,7
301000.0,3,2.5,2420,2.0,0,0,3,8
951000.0,5,3.25,3250,2.0,0,4,4,8
430000.0,4,3.0,1850,2.0,0,0,3,8
650000.0,3,2.25,2150,1.0,0,3,4,8
289000.0,3,1.75,1260,1.0,0,0,3,7
505000.0,3,1.75,2519,2.0,0,0,5,8
549000.0,3,1.75,1540,3.0,0,0,3,8
425000.0,3,2.25,1660,1.0,0,0,3,7
317625.0,3,2.75,2770,1.5,0,0,5,7
975000.0,4,2.5,2720,2.0,0,0,3,10
287000.0,4,2.5,2240,2.0,0,0,3,7
204000.0,3,1.0,1000,1.0,0,0,4,7
1325000.0,5,2.25,3200,1.0,0,0,3,8
1040000.0,5,3.25,4770,1.0,0,0,4,11
325000.0,3,2.0,1260,1.0,0,0,4,7
